1,0.0012,0.0249,
2,0.0014,0.0035,
4,0.0032,0.0034,
8,0.0086,0.0035,
16,0.0171,0.0035,
32,0.0375,0.0051,
64,0.081,0.0095,
128,0.1904,0.0123,
256,0.289,0.0087,
512,0.6463,0.0169,
1024,1.4678,0.0285,
2048,2.7128,0.0363,
4096,5.812,0.0784,
8192,11.6927,0.1951,
16384,26.7113,0.3975,
32768,50.888,0.8679,
65536,124.197,3.042,
131072,283.26,12.7015,
262144,604.881,38.8402,
524288,1024.31,35.9584,
