9.97863,9.8236,0.1,
9.95594,9.65073,0.2,
9.93196,9.48136,0.3,
9.90672,9.31542,0.4,
9.88026,9.15286,0.5,
9.85262,8.99362,0.6,
9.82384,8.83766,0.7,
9.79395,8.68491,0.8,
9.76298,8.53532,0.9,
9.73098,8.38884,1,
9.69797,8.2454,1.1,
9.66399,8.10496,1.2,
9.62908,7.96745,1.3,
9.59326,7.83283,1.4,
9.55657,7.70105,1.5,
9.51904,7.57203,1.6,
9.48071,7.44574,1.7,
9.4416,7.32212,1.8,
9.40174,7.20112,1.9,
9.36117,7.08268,2,
9.31991,6.96675,2.1,
9.278,6.85329,2.2,
9.23546,6.74224,2.3,
9.19232,6.63355,2.4,
9.14861,6.52718,2.5,
9.10435,6.42307,2.6,
9.05956,6.32117,2.7,
9.01429,6.22145,2.8,
8.96854,6.12386,2.9,
8.92234,6.02834,3,
8.87573,5.93486,3.1,
8.82871,5.84337,3.2,
8.78132,5.75382,3.3,
8.73357,5.66618,3.4,
8.68549,5.5804,3.5,
8.6371,5.49645,3.6,
8.58842,5.41428,3.7,
8.53946,5.33385,3.8,
8.49025,5.25513,3.9,
8.44081,5.17807,4,
8.39115,5.10264,4.1,
8.3413,5.0288,4.2,
8.29126,4.95652,4.3,
8.24106,4.88577,4.4,
8.19071,4.8165,4.5,
8.14024,4.74869,4.6,
8.08964,4.6823,4.7,
8.03895,4.61729,4.8,
7.98817,4.55365,4.9,
7.93731,4.49133,5,
7.8864,4.43032,5.1,
7.83544,4.37057,5.2,
7.78445,4.31206,5.3,
7.73344,4.25476,5.4,
7.68242,4.19864,5.5,
7.6314,4.14369,5.6,
7.5804,4.08986,5.7,
7.52943,4.03714,5.8,
7.47848,3.9855,5.9,
7.42759,3.93492,6,
7.37675,3.88537,6.1,
7.32598,3.83682,6.2,
7.27528,3.78926,6.3,
7.22467,3.74267,6.4,
7.17414,3.69702,6.5,
7.12372,3.65229,6.6,
7.0734,3.60846,6.7,
7.02321,3.56551,6.8,
6.97313,3.52341,6.9,
6.92318,3.48216,7,
6.87338,3.44173,7.1,
6.82371,3.40211,7.2,
6.7742,3.36327,7.3,
6.72484,3.32519,7.4,
6.67564,3.28787,7.5,
6.62661,3.25129,7.6,
6.57775,3.21542,7.7,
6.52907,3.18025,7.8,
6.48057,3.14577,7.9,
6.43227,3.11196,8,
6.38415,3.0788,8.1,
6.33623,3.04629,8.2,
6.28851,3.01441,8.3,
6.24099,2.98314,8.4,
6.19368,2.95247,8.5,
6.14659,2.92239,8.6,
6.09971,2.89288,8.7,
6.05305,2.86394,8.8,
6.00661,2.83555,8.9,
5.96039,2.80769,9,
5.9144,2.78037,9.1,
5.86864,2.75355,9.2,
5.82312,2.72725,9.3,
5.77782,2.70143,9.4,
5.73277,2.6761,9.5,
5.68795,2.65124,9.6,
5.64338,2.62685,9.7,
5.59905,2.60291,9.8,
5.55496,2.57941,9.9,
5.51112,2.55635,10,
5.46753,2.53371,10.1,
5.42419,2.51148,10.2,
5.38109,2.48967,10.3,
5.33825,2.46825,10.4,
5.29566,2.44723,10.5,
5.25333,2.42659,10.6,
5.21125,2.40632,10.7,
5.16942,2.38642,10.8,
5.12785,2.36688,10.9,
5.08654,2.34769,11,
5.04549,2.32885,11.1,
5.00469,2.31034,11.2,
4.96415,2.29217,11.3,
4.92387,2.27432,11.4,
4.88385,2.25679,11.5,
4.84409,2.23957,11.6,
4.80458,2.22266,11.7,
4.76534,2.20605,11.8,
4.72636,2.18973,11.9,
4.68763,2.1737,12,
4.64917,2.15795,12.1,
4.61096,2.14248,12.2,
4.57301,2.12727,12.3,
4.53532,2.11234,12.4,
4.49789,2.09766,12.5,
4.46072,2.08324,12.6,
4.4238,2.06908,12.7,
4.38715,2.05515,12.8,
4.35074,2.04147,12.9,
4.3146,2.02803,13,
4.27871,2.01482,13.1,
4.24307,2.00183,13.2,
4.20769,1.98907,13.3,
4.17256,1.97653,13.4,
4.13769,1.9642,13.5,
4.10306,1.95209,13.6,
4.06869,1.94018,13.7,
4.03457,1.92848,13.8,
4.0007,1.91697,13.9,
3.96708,1.90566,14,
3.9337,1.89455,14.1,
3.90057,1.88362,14.2,
3.86769,1.87288,14.3,
3.83506,1.86232,14.4,
3.80266,1.85194,14.5,
3.77051,1.84173,14.6,
3.73861,1.8317,14.7,
3.70694,1.82184,14.8,
3.67551,1.81214,14.9,
3.64432,1.80261,15,
3.61337,1.79324,15.1,
3.58266,1.78402,15.2,
3.55218,1.77496,15.3,
3.52194,1.76605,15.4,
3.49193,1.75729,15.5,
3.46215,1.74868,15.6,
3.4326,1.74022,15.7,
3.40329,1.73189,15.8,
3.3742,1.72371,15.9,
3.34534,1.71566,16,
3.3167,1.70775,16.1,
3.28829,1.69997,16.2,
3.2601,1.69232,16.3,
3.23214,1.6848,16.4,
3.20439,1.6774,16.5,
3.17687,1.67013,16.6,
3.14956,1.66298,16.7,
3.12247,1.65595,16.8,
3.0956,1.64904,16.9,
3.06895,1.64224,17,
3.0425,1.63556,17.1,
3.01627,1.62899,17.2,
2.99025,1.62254,17.3,
2.96444,1.61619,17.4,
2.93883,1.60994,17.5,
2.91344,1.60381,17.6,
2.88825,1.59777,17.7,
2.86326,1.59184,17.8,
2.83848,1.58601,17.9,
2.8139,1.58027,18,
2.78951,1.57464,18.1,
2.76533,1.5691,18.2,
2.74135,1.56365,18.3,
2.71756,1.5583,18.4,
2.69397,1.55304,18.5,
2.67057,1.54787,18.6,
2.64736,1.54278,18.7,
2.62435,1.53779,18.8,
2.60152,1.53288,18.9,
